Rainfallmm,Month,Year
66.7,Jul,1934
101.8,Aug,1934
99.2,Sep,1934
127.3,Oct,1934
56.9,Nov,1934
177.1,Dec,1934
63.8,Jan,1935
122.4,Feb,1935
43.4,Mar,1935
100.6,Apr,1935
33.7,May,1935
101.6,Jun,1935
39.5,Jul,1935
74.1,Aug,1935
152.8,Sep,1935
173.4,Oct,1935
144.5,Nov,1935
93.5,Dec,1935
126.3,Jan,1936
74.9,Feb,1936
64.6,Mar,1936
48.1,Apr,1936
37.8,May,1936
81,Jun,1936
143,Jul,1936
52.4,Aug,1936
101.3,Sep,1936
94.4,Oct,1936
106.8,Nov,1936
132.7,Dec,1936
153.2,Jan,1937
137.9,Feb,1937
79.8,Mar,1937
69.3,Apr,1937
67.4,May,1937
55.4,Jun,1937
85.8,Jul,1937
64.2,Aug,1937
76,Sep,1937
84.9,Oct,1937
47.1,Nov,1937
93.5,Dec,1937
147.7,Jan,1938
58,Feb,1938
57.2,Mar,1938
14.1,Apr,1938
82.3,May,1938
94,Jun,1938
108.6,Jul,1938
85.5,Aug,1938
80.7,Sep,1938
172.2,Oct,1938
164.2,Nov,1938
119.4,Dec,1938
147.3,Jan,1939
96.9,Feb,1939
79.4,Mar,1939
66.2,Apr,1939
33.2,May,1939
63.4,Jun,1939
144.9,Jul,1939
69.7,Aug,1939
47.3,Sep,1939
104.3,Oct,1939
173.2,Nov,1939
71.9,Dec,1939
68.5,Jan,1940
71.6,Feb,1940
93.5,Mar,1940
71.5,Apr,1940
44,May,1940
27.8,Jun,1940
134.6,Jul,1940
38.6,Aug,1940
73,Sep,1940
125.5,Oct,1940
190.4,Nov,1940
108.3,Dec,1940
74.2,Jan,1941
106.6,Feb,1941
82.2,Mar,1941
49.6,Apr,1941
64.2,May,1941
31.4,Jun,1941
83.1,Jul,1941
131.7,Aug,1941
33.3,Sep,1941
108.7,Oct,1941
104.6,Nov,1941
75.1,Dec,1941
125.7,Jan,1942
46.7,Feb,1942
68,Mar,1942
50,Apr,1942
95.7,May,1942
31.1,Jun,1942
89.4,Jul,1942
107.6,Aug,1942
103.9,Sep,1942
127.2,Oct,1942
44.9,Nov,1942
136.8,Dec,1942
147.2,Jan,1943
83.1,Feb,1943
45.6,Mar,1943
65.8,Apr,1943
92.9,May,1943
76.7,Jun,1943
67.4,Jul,1943
116.5,Aug,1943
97.7,Sep,1943
128.5,Oct,1943
86.1,Nov,1943
64.3,Dec,1943
116.2,Jan,1944
52.7,Feb,1944
28.3,Mar,1944
65.7,Apr,1944
61.4,May,1944
82,Jun,1944
74.2,Jul,1944
82.6,Aug,1944
118.6,Sep,1944
131.3,Oct,1944
165.2,Nov,1944
106.3,Dec,1944
100.4,Jan,1945
110.8,Feb,1945
54.2,Mar,1945
50.9,Apr,1945
96.4,May,1945
94,Jun,1945
77.7,Jul,1945
72.2,Aug,1945
92,Sep,1945
118.8,Oct,1945
22.1,Nov,1945
118.7,Dec,1945
114.5,Jan,1946
96.2,Feb,1946
50.4,Mar,1946
49.1,Apr,1946
61,May,1946
93.6,Jun,1946
101.3,Jul,1946
132,Aug,1946
147,Sep,1946
31.6,Oct,1946
162.8,Nov,1946
112.7,Dec,1946
99.1,Jan,1947
44.1,Feb,1947
141.1,Mar,1947
117.1,Apr,1947
73.5,May,1947
81.7,Jun,1947
83.8,Jul,1947
10.3,Aug,1947
86.5,Sep,1947
40,Oct,1947
129.2,Nov,1947
82.1,Dec,1947
180.2,Jan,1948
78.2,Feb,1948
64.2,Mar,1948
68.4,Apr,1948
66.4,May,1948
107.4,Jun,1948
68.4,Jul,1948
138,Aug,1948
109.7,Sep,1948
108.3,Oct,1948
77.6,Nov,1948
140.9,Dec,1948
91.1,Jan,1949
77.7,Feb,1949
58.4,Mar,1949
92.8,Apr,1949
68.8,May,1949
27.8,Jun,1949
59,Jul,1949
87.7,Aug,1949
58.6,Sep,1949
158.2,Oct,1949
125.2,Nov,1949
147.9,Dec,1949
67.1,Jan,1950
140.7,Feb,1950
62.5,Mar,1950
95.6,Apr,1950
50.6,May,1950
62.2,Jun,1950
114.9,Jul,1950
132.5,Aug,1950
180,Sep,1950
77.8,Oct,1950
139.6,Nov,1950
79,Dec,1950
114.9,Jan,1951
109.9,Feb,1951
105.8,Mar,1951
87.7,Apr,1951
65.1,May,1951
44.1,Jun,1951
73.3,Jul,1951
134.9,Aug,1951
86.8,Sep,1951
41.1,Oct,1951
193.6,Nov,1951
141,Dec,1951
107.2,Jan,1952
39.9,Feb,1952
81.6,Mar,1952
61,Apr,1952
66.1,May,1952
68.9,Jun,1952
51.5,Jul,1952
116.5,Aug,1952
90.6,Sep,1952
120.5,Oct,1952
95,Nov,1952
110.7,Dec,1952
50.6,Jan,1953
62.2,Feb,1953
34,Mar,1953
81.6,Apr,1953
70.1,May,1953
62.6,Jun,1953
119.2,Jul,1953
95.4,Aug,1953
104.5,Sep,1953
79.2,Oct,1953
118.3,Nov,1953
75.3,Dec,1953
88.1,Jan,1954
93.7,Feb,1954
85.6,Mar,1954
29.4,Apr,1954
93.7,May,1954
94,Jun,1954
95.9,Jul,1954
117.7,Aug,1954
119.2,Sep,1954
171.6,Oct,1954
182.2,Nov,1954
138,Dec,1954
88.1,Jan,1955
76.1,Feb,1955
53.3,Mar,1955
49.7,Apr,1955
99,May,1955
82.2,Jun,1955
30.6,Jul,1955
31.6,Aug,1955
80.4,Sep,1955
96.8,Oct,1955
64.5,Nov,1955
147.6,Dec,1955
120.5,Jan,1956
42.5,Feb,1956
45.3,Mar,1956
